danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id
0.851,0.582,-11.022,0.286,0.0497,0.0,0.241,0.956,95.05,263681,0,29LXywbHsHAe4oAxdL5GeV
0.706,0.878,-5.172,0.193,0.0242,0.0,0.365,0.517,95.103,300653,2,5MoADCqapbz4kXUeoQIMD8
0.843,0.878,-6.675,0.347,0.0932,0.0,0.288,0.579,109.851,193295,0,6UykxHDyfwwcYzd5H4bF0t
0.512,0.613,-8.896,0.037,0.0872,4.42e-06,0.145,0.682,161.708,240177,0,4WVLC5JmSIEHco1LDinj0F
0.754,0.845,-5.902,0.0583,0.259,0.103,0.455,0.826,105.452,268933,2,4eTkigHBxzWXplGHmIUy4L
0.641,0.77,-5.804,0.275,0.00812,0.0,0.101,0.785,86.3,249931,0,3GCFSWC251iFhSAtnmhHxE
0.751,0.599,-8.183,0.336,0.0387,0.000236,0.426,0.353,95.702,283800,2,2bLQom3VkslaUv4HqNG96p
0.715,0.729,-4.749,0.229,7.92e-06,0.0158,0.127,0.367,91.31,202787,0,1wvU1iYbmzf8tC3IKVDaZE
0.634,0.901,-4.967,0.261,0.0303,0.0,0.221,0.891,168.887,292000,0,5MRISjH5TBU1HBzsfkt11X
0.883,0.649,-5.485,0.231,0.0152,0.0,0.0427,0.521,93.962,283053,0,6eijrV64PEJCUCZNIhlNp0
0.614,0.543,-7.178,0.374,0.00776,3.28e-05,0.383,0.485,178.422,234093,2,1AHfovSnGPVYKaahRtA0U6
0.818,0.433,-6.398,0.209,0.0939,0.0,0.0967,0.677,90.096,245027,0,6iH9WMCrhLOTfR7RNIE4Rh
0.889,0.818,-4.639,0.253,0.47,0.0,0.179,0.782,96.063,302760,0,5ByAIlEEnxYdvpnezg7HTX
0.85,0.7,-6.49,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,291782,0,3Gf5nttwcX9aaSQXRWidEZ
0.818,0.653,-8.396,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,0,31bf9SEOppLU6lQ85d8om6
0.697,0.943,-4.954,0.175,0.00269,0.0,0.0773,0.754,99.468,212853,0,3LE6oaTvpfu3nN4t9U0DmJ
0.813,0.676,-9.159,0.296,0.00842,0.0,0.171,0.705,94.629,235893,0,1Mt7JLzBMXjTVKcdeD437t
0.687,0.796,-6.713,0.168,0.0989,2.25e-05,0.398,0.37,94.625,211867,2,0RvnQ7hMgtXeJn8VdEhKu1
0.69,0.71,-7.106,0.187,0.542,4.54e-05,0.554,0.657,82.427,224688,2,1j1x1Hv6qZDgTyFh8QBJq6
0.568,0.455,-14.133,0.148,0.000312,0.00163,0.255,0.589,85.994,241359,0,2AaNxOAAgKXD3i3ok1HT7N
0.593,0.789,-4.48,0.275,0.16,0.0,0.619,0.58,91.189,285453,2,79t5idiRhbDB1oLaVcTVsD
0.832,0.588,-10.88,0.248,0.4,0.0,0.104,0.716,95.309,250868,0,5EEOjaJyWvfMglmEwf9bG3
0.934,0.562,-4.609,0.24,0.0476,1.31e-06,0.0608,0.712,96.792,209413,0,0KbIwqCAHmXWu7hrszXY6j
0.6,0.706,-7.899,0.361,0.209,0.0,0.125,0.58,173.926,253533,0,4IYKjN1DrYzxKXt0umJqsG
0.893,0.514,-5.08,0.283,0.18,0.0,0.0596,0.787,95.848,219160,0,2jKoVlU7VAmExKJ1Jh3w9P
0.843,0.7,-3.249,0.26,0.127,0.0,0.876,0.675,95.05,293053,2,65iyI1iybyv5ecsfBHSdUf
0.836,0.484,-7.332,0.327,0.0454,0.0,0.0557,0.839,95.941,222933,0,2p9sprAX27D6U5cuSE9NsM
0.734,0.544,-4.786,0.194,0.42,0.0,0.0975,0.669,86.617,298267,0,2iYM4CGkoTfsLw9MI5K1AC
0.61,0.856,-3.974,0.325,0.0879,0.0,0.289,0.67,91.77,245467,0,6i6cWTCYBOKEdJnWjzm2yk
0.817,0.817,-4.911,0.135,0.098,1.61e-06,0.0798,0.854,90.194,212760,0,4dbZObCjUs95HtmEHfKbnU
0.572,0.745,-6.418,0.367,0.184,0.0,0.154,0.593,160.037,240147,0,6UeROtzgj12WLgZx3033G6
0.595,0.714,-5.705,0.0609,0.0381,0.0,0.08,0.141,88.449,325333,3,0Cw5iiA8OHWIhuIIA8u8N5
0.642,0.777,-4.809,0.094,0.00323,0.0,0.227,0.413,96.986,214400,0,3zmduBNsQ6BPDTZAkXzG5K
0.807,0.457,-6.797,0.268,0.705,2.01e-06,0.15,0.76,82.902,234333,0,7HgwXT5UvgoZJLivur1sCQ
0.685,0.803,-4.251,0.156,0.0601,0.0,0.546,0.799,107.005,205280,2,7dyluIqv7QYVTXXZiMWPHW
0.766,0.641,-3.777,0.0445,0.0165,0.0386,0.0809,0.579,85.011,257093,0,4Nrg8EG7wWTiTOumtpw8gk
0.4,0.805,-7.305,0.0407,0.0387,5.4e-05,0.109,0.324,158.459,193933,3,497Fkp3gRiGrRMoqBTDudr
0.869,0.642,-7.805,0.264,0.292,0.0,0.251,0.666,92.3,355082,0,7et7FNzwDt8PM4uSGaU8Qu
0.833,0.64,-5.674,0.22,0.0184,0.0,0.102,0.465,99.285,352907,0,5xEm63lXBhJKZgjRDMWH3H
0.965,0.449,-15.225,0.236,0.05,1.13e-06,0.267,0.723,105.391,323267,0,2hluGQtmPypU3tsQudCQ3U
0.94,0.713,-5.308,0.127,0.0319,0.00076,0.325,0.666,112.955,236813,0,2Sionb7ZAmdVGH9mieuJ7Z
0.912,0.416,-5.943,0.164,0.437,0.306,0.09,0.677,90.013,236227,0,52riputZ4Vo5PG9MOSy6r5
0.59,0.672,-11.792,0.412,0.125,1.04e-06,0.147,0.688,206.247,286440,0,0PV1TFUMTBrDETzW6KQulB
0.526,0.806,-7.589,0.161,0.0763,0.0,0.344,0.882,92.96,229507,2,5bLWaBLpfMgPRy22FJSLC1
0.342,0.907,-4.432,0.415,0.0815,0.0,0.383,0.225,170.38,248093,2,0O6cYePgIBlMQ0pAFate3q
0.829,0.757,-5.68,0.213,0.0623,0.0,0.075,0.604,90.888,234083,0,2gLedWw8tl9XQv46o4uGcm
0.866,0.568,-4.865,0.256,0.0389,0.0,0.258,0.739,96.456,180613,0,64LM0BSU1lzGPcmeVpIXkS
0.732,0.572,-7.426,0.295,0.389,0.0,0.125,0.816,96.909,301000,0,1AWfyeM1D7mAG5CAN3HLMf
0.902,0.429,-12.098,0.297,0.0124,0.0,0.35,0.522,91.895,209307,0,4DubOF0AqoxpGVRY78AHuo
0.773,0.54,-7.123,0.103,0.371,0.0,0.131,0.322,84.115,280000,0,6tDxrq4FxEL2q15y37tXT9
0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,281320,0,4CDIEKHMb2MBgvgHBkhiJD
0.557,0.778,-4.571,0.255,0.00556,0.0,0.324,0.416,174.046,213864,2,60DYd3b1tkYvz1s5QXEU20
