danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.716,0.485,-8.241,0.237,0.0401,0.0,0.277,0.556,148.141,0YSTRuZ7elW9CEBfZJW5Js,247600
0.701,0.485,-10.305,0.364,0.367,6.31e-05,0.0852,0.496,78.863,1vvnYpYEMVB4aq9I6tHIEB,530253
0.394,0.661,-8.684,0.192,0.00996,0.0,0.343,0.335,149.818,2N3U8uTYhjX2KwGT0pf5x0,260987
0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967,4X5f3vT8MRuXF68pfjNte5,233787
0.898,0.598,-7.164,0.0467,0.49,0.0014,0.0646,0.528,119.966,6br4Pc0BzU6dTD5fEmks2i,255253
0.668,0.489,-9.13,0.137,0.115,0.0,0.184,0.258,142.226,5Uc07fEUpjjFcLEIleEHkJ,231787
0.884,0.53,-5.776,0.0379,0.0144,0.0,0.095,0.262,99.021,7F51q96XofOD2lntm7hzvQ,206187
0.797,0.469,-8.112,0.0646,0.0599,0.0,0.0753,0.481,103.057,5IZc3KIVFhjzJ0L2kiXzUl,224240
0.823,0.563,-5.095,0.0443,0.0399,0.0,0.0851,0.682,98.031,0k6DnZMLoEUH8NGD5zh2SE,225227
0.595,0.416,-10.957,0.0366,0.536,0.0,0.293,0.185,74.556,3MWlVSkoLS1e66nlZ2tuWJ,127880
0.78,0.657,-7.149,0.317,0.0321,2.56e-06,0.339,0.648,163.969,3IrkbGQCoEPAkzJ0Tkv8nm,245173
0.492,0.803,-5.911,0.35,0.122,2.08e-05,0.146,0.778,175.802,4xyPqgnOnH076SJEW2QUwF,245107
0.789,0.858,-5.542,0.311,0.127,0.0,0.349,0.775,140.022,4Li2WHPkuyCdtmokzW2007,219333
0.78,0.575,-7.247,0.273,0.43,0.0,0.143,0.773,84.492,2g8HN35AnVGIk7B8yMucww,252747
0.901,0.697,-3.439,0.28,0.145,0.0,0.287,0.67,93.941,7KwZNVEaqikRSBSpyhXK2j,229827
0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,4INDiWSKvqSKDEu7mh8HFz,257400
0.941,0.631,-5.998,0.114,0.0366,1.8e-06,0.0311,0.63,128.597,4PrquuUN34hswtM71OMvxS,263373
0.863,0.772,-2.278,0.114,0.0167,0.0,0.206,0.83,110.514,6lob8yGQuretKACtogsaQL,224680
0.419,0.786,-4.589,0.256,0.000454,0.0,0.314,0.744,105.289,1x01tXhHXuRaxDvyo0BrxZ,216960
0.699,0.905,-2.757,0.372,0.207,0.0,0.257,0.625,180.109,4ZvVQABRpQ4q8uCiSRIQz0,224227
0.604,0.601,-6.837,0.398,0.177,0.0,0.405,0.829,82.261,0a72Oo8rFK3PPOIc5kiWX8,185813
0.9,0.656,-7.218,0.222,0.43,0.0,0.189,0.288,106.948,69Rq57lrGf5syykFBNi3g4,252000
0.766,0.74,-10.363,0.0807,0.0193,0.0784,0.229,0.183,118.008,0Fs9cdPDhptWEDJmiCbkEW,296520
0.837,0.78,-10.449,0.315,0.0527,4.58e-05,0.0894,0.645,93.556,7qIwzvrtNJl2En2E3RBL8V,267293
0.766,0.641,-3.777,0.0445,0.0165,0.0386,0.0809,0.579,85.011,4Nrg8EG7wWTiTOumtpw8gk,257093
0.512,0.677,-7.407,0.14,0.00425,0.000951,0.142,0.204,172.208,2wsBhAFs6Cxk9AGngVpYOK,225867
0.667,0.608,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992,2uwnP6tZVVmTovzX5ELooy,241160
0.802,0.544,-9.212,0.0686,0.605,0.0,0.102,0.57,133.992,5O59s7bCgTFsXDXlWecyQ1,292865
0.889,0.4,-10.586,0.26,0.322,1.32e-05,0.331,0.336,128.073,0Thqjtu54vKMP06pwZkAWp,301064
0.495,0.722,-8.108,0.357,0.0697,0.0,0.113,0.539,175.627,4tqcoej1zPvwePZCzuAjJd,239267
