danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.452,0.802,-8.567,0.0438,0.0128,0.000639,0.453,0.413,147.057,6fZ0LsfiXk6WmeeUcVCdBy,257854
0.319,0.58,-8.307,0.0623,0.535,0.0011,0.125,0.397,180.043,3lh3WamakKOaWLbMSFEi3j,242433
0.516,0.319,-7.165,0.0301,0.92,5.73e-06,0.164,0.357,64.027,3R0AHZhziHYQsKMrMqidwC,204000
0.809,0.622,-8.009,0.0428,0.191,0.689,0.101,0.661,109.999,0cohSxlyVkkdzCKSObEdie,336000
0.381,0.0235,-24.678,0.0525,0.942,0.00268,0.098,0.117,74.877,4I3yXl09YKnJ3Z7Jz5Ejiz,164167
0.222,0.648,-7.03,0.0411,0.0131,7.62e-05,0.154,0.204,160.193,4hsMuhdxLoguPapTLOXPAG,219675
0.712,0.643,-6.99,0.0985,0.0933,0.0,0.125,0.723,136.145,1tGdKDoxn5ffObS6eG9PiU,409467
0.586,0.484,-8.356,0.032,0.0222,0.812,0.474,0.222,148.036,5FKPDvQdJxji5sL04NCCnF,184021
0.574,0.86,-9.616,0.0639,0.129,0.0,0.147,0.736,175.871,5REsqWyVh9PXSzH8Z999ov,253636
0.735,0.876,-6.785,0.396,0.573,2.4e-06,0.175,0.333,80.082,2lxnznNUqN1EIqupMdXPO7,152000
0.708,0.316,-9.507,0.0671,0.447,0.00023,0.079,0.652,81.403,5gBW4PhXqiUVL8FJ5K9opo,170012
0.673,0.903,-4.282,0.0355,0.0423,0.00063,0.0951,0.415,104.968,2WGMpyMKyZU9dwebtr3glV,249143
0.44,0.548,-8.614,0.0327,0.327,0.0,0.0916,0.234,146.022,4iyYhAd2saHvisWQDvXzov,311320
0.646,0.453,-7.991,0.0251,0.368,0.0,0.343,0.49,108.092,6qRchbcgMmING88jVyYvyr,170969
0.416,0.164,-14.69,0.0344,0.973,7.59e-05,0.105,0.207,142.525,730s4rcEwNBRh65LE3r0YB,195475
0.292,0.325,-8.551,0.0333,0.00849,0.0,0.0827,0.164,110.213,4fTwiWxpMwqGjJ3u822DOH,233640
0.763,0.297,-8.917,0.0336,0.967,0.0428,0.143,0.466,86.013,5ee0O7USpSHCt7trWvPfK9,159070
0.723,0.48,-12.297,0.0276,0.422,0.000227,0.114,0.136,89.983,2ANjisVYBrQSjts8v3Ml6X,276652
0.826,0.475,-8.386,0.0288,0.393,1.13e-05,0.0803,0.58,108.081,2p4yLPxrhB5kPlUgV6PMGs,238185
0.483,0.586,-8.376,0.0842,0.0635,5.47e-05,0.331,0.657,172.885,2okX5QwdRweJn5JOoNNcsU,289001
0.647,0.509,-11.455,0.0293,0.391,2.88e-05,0.14,0.751,114.986,2w1MhiU54gMBBuXxqhiXWv,222015
0.452,0.802,-8.54,0.0471,0.008,0.752,0.233,0.438,122.023,3tXBCVzENN3UN6OX19klNF,352487
0.721,0.213,-17.34,0.035,0.819,0.0025,0.118,0.265,115.125,1u1tvoNukNgbXYgMUyFHBz,413739
0.545,0.45,-7.705,0.0255,0.638,0.0,0.131,0.408,144.875,6VpKwH6yOAaLxDEVp56VEg,290847
0.465,0.239,-9.145,0.0454,0.689,0.0,0.109,0.16,147.594,21PTxUJJPSC2fIWE0mpR3Q,250000
0.335,0.129,-16.704,0.0416,0.899,3.11e-05,0.0956,0.0365,83.814,4Cm2hsElqPcbfE2PfO4PQC,340893
0.55,0.445,-9.07,0.0284,0.751,0.000201,0.0997,0.0972,114.945,3ImucO0vrbccsXw0uuAP0A,338087
0.797,0.421,-11.673,0.0278,0.788,9.1e-05,0.236,0.515,112.024,6rASoFwhaPygBrp8zmWbSQ,279818
0.518,0.463,-8.605,0.0248,0.235,0.0,0.104,0.214,81.055,0V4v9l6l3OY1tsuWHG3ZA1,252656
0.585,0.69,-7.035,0.0244,0.0554,1.93e-05,0.134,0.257,104.982,3AARC3pWf6AU5LOnywsXrd,274286
0.618,0.507,-8.971,0.0283,0.281,0.00676,0.104,0.118,125.924,4VwHWeDCitg84p02I61K5u,257855
0.687,0.462,-11.302,0.0735,0.0252,0.000514,0.144,0.345,130.945,5sSn0QpV3KvPZMdx3lYgoR,192249
0.658,0.329,-13.685,0.0413,0.673,0.0105,0.0617,0.254,85.046,5wJ3MxJBt0EbhEyGCvjIgR,204110
0.515,0.717,-7.562,0.0531,0.331,0.0,0.118,0.54,107.062,0Lb2HpsqNvADo6h3WCSxW4,191138
0.681,0.477,-8.361,0.0416,0.865,0.0,0.224,0.319,93.015,1JsnFFQQpz1CFCcAHvEe79,189677
0.854,0.611,-7.924,0.13,0.082,0.0,0.369,0.425,102.96,5SxZdwYTssNjNU6ZLuxjv4,172427
0.667,0.722,-7.839,0.0322,0.284,0.00528,0.22,0.681,100.021,0pUAdgqOw681QOTU83tnz4,242098
0.9,0.467,-8.528,0.365,0.191,0.0,0.0956,0.312,145.063,6q1FKrZkDgD0cxm6p0ahVJ,193276
0.654,0.136,-16.751,0.0356,0.959,0.00166,0.315,0.634,137.933,55vuKXkd33sXiWEeJXtaO9,216522
0.732,0.6,-7.38,0.175,0.446,1.88e-06,0.107,0.575,132.037,36cntYnYfKxU7UKgZbv4sV,228163
0.636,0.243,-11.012,0.0313,0.95,0.218,0.101,0.194,114.891,1k3kDFJq5JmDDdadLsnMQ9,356049
0.269,0.233,-11.909,0.0319,0.966,1.99e-05,0.107,0.194,79.939,4hv4yWmd2lRFsXcMHAErbr,307843
0.397,0.631,-11.003,0.0537,0.0706,2.11e-05,0.0719,0.19,113.247,46idPrptSJtX1GgJ5GQmnb,248471
0.852,0.525,-6.735,0.0366,0.735,0.0,0.135,0.74,115.945,4fytx9oEawqo0Z87k1deQ6,239242
0.515,0.866,-4.633,0.0328,0.0164,2.58e-06,0.115,0.385,139.973,3IhGco1385eSELMRPZRlpv,254767
0.703,0.512,-10.246,0.0266,0.0551,0.0172,0.15,0.545,110.007,6fP3GuBlZeJD93rJme9Nht,268393
0.444,0.448,-6.903,0.026,0.0724,3.16e-05,0.0705,0.0652,75.018,4ByiJkYvmRlRwb2m7jyAks,272000
0.603,0.616,-8.603,0.0232,0.324,0.00849,0.132,0.421,100.037,3vehkMCbjcJIFVhSs0fN5B,239474
0.375,0.981,-4.355,0.14,4.58e-05,0.323,0.155,0.172,155.01,2skG5bKQWv3ZdBH71fe3nS,230323
0.462,0.126,-17.837,0.0338,0.823,0.000857,0.201,0.375,140.284,4m0qiiAGfn0qC3aRVrVO72,181674
0.599,0.503,-10.05,0.0272,0.445,1.56e-05,0.0951,0.578,75.003,4HgwTsPtbBdyqtqFvSE6L6,195200
0.533,0.523,-11.842,0.0311,0.924,0.827,0.147,0.411,160.047,4epI8OieF2Zs3mMXQYkN5R,297123
0.45,0.596,-8.265,0.0423,0.307,0.0,0.103,0.318,149.839,2naA7taCWIH4PEsn5ZXrDv,308400
